,buytime,buyprice,stoploss,target,selltime,profit,open,high,close,low,5ema,9ema,21ema,rsi,openCloseDiff,ema5_highDiff,ema5_lowDiff
776,14-09-2022 01:35,955.15,962.2,898.75,14-09-2022 01:55,-0.738103963,962.2,962.2,957,955.15,954.0848479,948.2679916,939.0232974,75.99397083,0.540428185,0.843395557,0.111516731
777,14-09-2022 02:30,975.2,985,896.8,15-09-2022 00:25,-1.004922067,983.15,985,977.6,975.2,973.0885111,968.1081755,957.0707453,74.95485282,0.564512028,1.209288217,0.216518554
778,29-11-2022 00:10,966,976.95,878.4,29-11-2022 23:05,-1.133540373,972.35,976.95,966.85,966,964.3816274,959.3261695,947.6661543,74.03522787,0.565639944,1.28649087,0.167533391
779,08-05-2023 23:45,969.35,977.7,902.55,10-05-2023 00:25,-0.86140197,977.7,977.7,969.35,969.35,963.8128439,961.7165669,959.4125013,70.26952974,0.854045208,1.420390314,0.571223613
780,07-06-2023 02:20,988.55,996,928.95,13-06-2023 00:50,-0.753629053,995.4,996,989.65,988.55,984.4854849,978.9338068,969.564976,73.74243656,0.577657223,1.156075811,0.411159282
781,16-06-2023 03:55,1087.95,1100.7,985.95,05-07-2023 05:40,-1.171928857,1098.65,1100.7,1088,1087.95,1081.29486,1072.932219,1063.327326,73.07471592,0.969371501,1.762981736,0.611713771
782,06-07-2023 00:15,1134.4,1146.75,1035.6,06-07-2023 03:15,-1.088681241,1145,1146.75,1137.95,1134.4,1132.776818,1124.197321,1101.510943,79.74946124,0.615720524,1.218502896,0.143087267
783,13-09-2023 23:50,1309.25,1359.55,906.85,20-10-2023 00:25,-3.841894214,1359.55,1359.55,1309.45,1309.25,1274.664133,1251.365954,1226.132966,70.8509724,3.685042845,6.2436738,2.641654928
784,20-10-2023 00:30,1351,1369,1207,20-10-2023 00:45,-1.33234641,1364.7,1369,1355.8,1351,1339.012431,1311.528518,1263.139218,89.10439059,0.652157983,2.190472524,0.887310796
785,06-11-2023 23:00,1526,1539,1422,09-11-2023 22:45,6.815203145,1537.3,1539,1527.75,1526,1503.149633,1478.779868,1448.787399,84.33537781,0.62121902,2.329458543,1.497402816
786,01-08-2018 00:05,40,40.63,34.96,08-08-2018 23:45,-1.575,40.4,40.63,40,40,39.92785896,39.4903494,38.36716662,75.91856169,0.99009901,1.728134483,0.180352601
787,08-08-2018 23:50,40.45,40.8,37.65,09-08-2018 04:30,-0.86526576,40.68,40.8,40.45,40.45,40.40910381,40.21110043,39.6954361,71.52025867,0.565388397,0.958078905,0.101103073
